"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"BATF",5.31098530456063,5.04799062393537,5.18561049798955,5.81457773980102,4.89350180041912,5.05874158530522,6.0331375642709,5.35885652377236
"DCK",7.76676880040853,8.03751534428161,7.65017390402733,7.55603097308827,7.77385050477553,7.59702972671998,7.71721181713343,7.99828113404351
"ADAMTS3",6.95574872167516,6.18828330166078,5.75656389039284,6.21901204022963,6.78065610467424,6.74416231259233,6.0515103263973,6.14168471973149
"DPY19L4",9.45378074492407,9.42712790458433,9.32200863784886,9.16827198542785,9.48322849121912,9.48623978244796,9.62749720754163,9.62664907052533
"NDUFAF6",7.4841228596354,7.50617019536141,7.93841413156601,7.47158310173051,7.31805034169996,7.25392937900661,7.43698269646729,7.41549397067944
"DRAM2",8.46317439825374,8.59054477934619,8.54516896053452,8.28958516040185,8.57094948002314,8.57757567240857,8.58926898954345,8.65046166132125
"CFAP418",5.94188810548943,6.18828330166078,6.11188991900211,5.90106309374658,5.90897782695806,6.04372147828844,6.55863575592232,6.47928073428453
"CFAP161",5.7238016975997,5.47039381855673,5.68574272076701,5.5090417902046,4.89350180041912,5.11588619098003,5.17210162219783,5.32054025113361
"ADAMTSL3",5.04412226460582,5.11234780772834,5.88671378545633,5.34060020208976,5.53903202365639,5.1695781948637,5.32065703846914,5.59401301905184
"WHAMM",7.67658311037803,7.96049353541467,7.84621331510137,7.56420576432689,7.93376749106028,7.67845239907032,7.80126680945306,7.50369233875594
"CXCL13",9.42653130565454,7.68494295912179,6.7203880600877,8.22947980492564,7.88696518016904,8.49460849049661,7.99200115779383,8.10498903379137
"HEMK2",7.78988453769317,7.77784040655347,8.73059196239154,8.32830012248946,7.81017157977657,7.61970228505238,7.77552810805105,8.09089801392749
"RWDD2B",7.77258296638344,7.77784040655347,7.5545527441574,7.47158310173051,7.64293745158938,7.60462750510361,7.5387119068398,7.61335648322121
"USP16",9.87384287680446,9.68932160253173,9.51093612441611,9.62720363039943,9.61364682497085,9.87418149294516,9.86327758001017,9.89931672634285
"CCT8",10.695105910669,10.3785189911521,9.86764339861065,10.4920480161559,10.6289523319831,10.5965355449537,10.3127190062434,10.4533207628755
"MAP3K7CL",5.91949704563909,5.51269004255023,5.72168695480955,5.81457773980102,5.87970968196191,5.78024861926625,6.22202717460536,5.86272588958047
"BACH1",9.93826882803605,9.60361164485113,9.83862599963186,9.56791740950922,10.2429577022536,9.87418149294516,10.1359315071195,9.67452005371629
"CLDN8",5.82561164974967,6.06401769005733,5.94692234036162,5.72139386029993,4.44626023015541,5.26847911243252,6.0515103263973,6.2345616628152
"TSPAN7",5.80096083182045,5.95504133810757,5.82339262677945,5.81457773980102,5.68742638914058,5.71992340966781,6.25358972538762,5.62385157688824
"TIAM1",7.90015812488052,7.85088282780339,8.08825386285588,7.46285491826462,8.22980071019265,8.22223317044866,8.50439951306057,7.57998732979006
"SCAF4",8.60624642051179,8.57773900854799,8.72266268999971,8.67451623797653,9.00456553536137,8.8336037950523,8.82492180405107,8.57500626191653
"RPGR",8.58994239942186,8.28377095822506,8.09442579432988,7.99068221669759,8.05961701739643,8.80111169558095,8.74530888306077,8.17343661457294
"CDK20",7.41866558433878,7.53312866733658,7.84621331510137,7.53122027439159,7.44413273719876,7.33870595078593,7.45662156120113,7.59342917686663
"PCGF6",7.1029652139981,6.46495074171517,6.61878247571396,6.57725512195483,6.79548612738064,7.05617192721178,6.83797193962462,6.87696125709755
"ANKRD9",8.68203027272157,8.82887937921392,8.77343835116589,8.54914018621037,9.31488857872271,8.73039158619267,8.96298761130115,8.45566119619435
"SFR1",6.44829637543249,6.48402523056563,6.52789935172217,6.4379515929936,6.86733463770378,6.4129064482647,6.76532162825709,6.7363951809813
"SFXN2",7.58691942194827,7.37310145986191,7.7787037863441,7.71854162131088,7.47169932740284,7.27321419570206,7.72799385536255,7.34553897345416
"ATP5MJ",8.80855985806185,8.56481809860459,8.36828202486926,8.72248319551852,8.72667944805072,8.45752981121697,8.49500173648008,8.66318935493229
"TDRD9",4.7284726018727,5.2286841700829,5.61032250385838,6.03295677716461,5.49864667891553,6.35815377481835,5.53761082879919,5.49940889581461
