"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"NUP205",10.0371433493337,9.98475128403031,10.070845901382,9.91196939452343,10.0480690837072,9.80791984115868
"ZKSCAN2",8.03970865292615,8.41564452469532,8.41953924979961,8.04562442446571,8.16134140799893,8.28725584482715
"C9orf85",7.68787608878641,7.84431163633612,7.91061288701764,7.91025392730682,8.1862032251502,7.99905642533804
"PIK3AP1",7.39133191222212,7.41324672921694,7.50168321998335,7.17504149254793,7.2980107123455,7.13240306879299
"RBM45",7.93738385563058,7.92091747247845,7.93964752496892,7.86621970197379,7.97917737677762,8.24959099951345
"TTN",9.90209480029656,10.5500529306898,9.96866370740139,11.1096423782845,11.1868898809209,10.8512754628617
"VSIG4",6.86745724221269,6.27715031549034,7.21075411874142,7.10745966384467,6.64289933348963,6.57865516412357
"PDIA4",11.0917538713932,10.3389758028378,10.940459072572,11.3299719439477,10.6615132713381,10.6065514453391
"KDM8",6.69283607919653,6.47011907813843,6.63343758042956,6.58530310930643,6.55235346241808,6.47994961651383
"KCTD18",8.38098032671731,8.52401038621374,8.49519955705178,8.50791596503132,8.41299062890447,8.34190435965072
"HYCC2",9.89831390254051,10.1101292175358,9.98564387645265,10.1311306121626,10.0873676790757,10.021919164215
"FLACC1",6.84940943142395,6.92642199061325,6.74078176651893,7.3578078933239,7.13298411165188,6.57865516412357
"C2CD6",6.60454313813928,6.37926170216674,6.54447608749223,6.05105164935288,6.49353189199938,6.47994961651383
"TMEM237",8.08131731593025,8.63576120854554,8.17639604856175,7.97077311121713,8.32666390077441,8.27325111076925
"FZD7",6.4269794791961,6.59111622137068,6.688535158803,6.64020366581884,6.90147357047225,6.26786160817755
"SPAG17",7.61259729715117,8.39820181440869,8.13552727197284,8.30987864363354,8.29513909132923,8.65651114672043
"DEPTOR",10.5779906219305,10.1388675334904,10.2997993792962,10.3711265143938,10.5280367012902,9.36596423725773
"FMN2",6.12273946145042,6.37926170216674,6.83802676896058,5.92360178199953,6.51356109127777,6.71807432621679
"RNF20",9.3184285557745,9.33952538200346,9.14968411177174,8.96357384376848,9.0326809949604,9.22253423463866
"PPARGC1B",7.75909418866131,7.99341814712805,8.38878152664337,8.0400101763556,8.40037734396597,8.25435543897764
"ELMO1",7.53271914612781,7.1385193418125,7.22745114140041,7.07216919538939,7.20795217940149,7.3190431886719
"SLC26A2",12.2395288424241,14.9923727493543,14.8504580230476,14.7626468040953,15.0707365968612,14.2649962598873
"LSM11",7.72396302304741,8.07339561901939,7.64655817006498,7.37654826633484,7.3819646376702,7.48970826648945
"MED7",8.00404024884137,8.18011621032225,8.17639604856175,7.8007039317279,8.01871652999708,7.86050043706019
"SAXO1",6.0791278354589,5.65603945847996,5.8244332416442,5.65487613730048,5.96281434014003,5.81211360563966
"RRAGA",8.60888899253049,8.66508938605217,8.67246552894309,8.87973536887454,8.78574050480823,8.84651128358068
"PXYLP1",8.38098032671731,8.07893323324933,8.05875488267714,7.89155776148795,7.73482786040037,7.99331748423505
"RASA2",10.3116773133736,9.9644536912414,9.97321140197522,10.1553699108999,10.0860748820596,9.49828868034953
"RMND1",8.48687111163345,8.56745064899708,8.62071224702058,8.59733502672655,8.82063077482637,8.8620223264953
"SLA",7.80174416988442,7.81777584531038,8.44300239630833,7.65915132750052,7.795291208,7.53106628530583
"TMBIM4",9.65553423901905,9.56466455960102,9.8047988465908,9.83502391290533,9.78023926122405,9.41074565613941
"VBP1",8.78860643436883,8.84856354986047,8.84748579271137,8.5745512919931,9.07521460190425,8.34636295577262
"RAB39B",6.0791278354589,6.24937146496025,6.07682799490839,5.87253291031351,6.17701314981777,6.36891676923465
"CLIC2",8.13490147442618,7.95159799865337,8.17639604856175,7.76670366805281,8.07862443195623,7.83488297664313
"AFF2",6.23851558145454,7.23707228937264,7.10540892441997,6.52705110757604,6.69346327412841,8.27793507645292
"MICU3",8.03970865292615,8.71499062196022,8.17639604856175,8.0400101763556,8.42133664916888,8.30112071608261
"GRIP1",7.98218253344792,8.40695040227914,8.03664310750778,8.07883456014519,8.56738921329407,7.87939848021786
"VPS37A",9.58665511028993,9.87094957235175,9.9572311173263,9.95913637106105,10.1406417944431,10.0205472753315
"KIF5A",9.3070366737798,8.92305231095442,9.07940677201288,8.97803785980992,8.85162025138418,8.76959863972736
"PSD3",10.9466976638369,10.5779675958322,10.5176398744822,10.3612926011737,10.4737474434628,10.5601373966112
"CARNMT1",9.51677040402298,9.29830090238577,9.45209631470651,9.24733746570006,9.66361802834711,9.29491012324518
"MCU",10.2640349512659,9.26063116886358,9.53455049728831,9.61322514327193,9.69452337391725,8.55672433993021
"MIDEAS",10.0457110312561,9.85842887569245,9.82255684136376,9.79169318304884,9.66708501762299,9.79994047061504
"CFAP70",8.11505156754591,9.28429087905583,8.97160439692999,9.24733746570006,8.69283931544892,9.29263175661722
"GNA14",7.15096521262239,6.8109255483288,6.74078176651893,7.17504149254793,6.86017175953268,7.21889839516358
"FAM161B",8.15446906411543,8.06783553128869,7.79846227496219,8.64910528485234,8.01313782605429,7.82840154918248
"GNAQ",11.102456285982,11.4051081616617,11.203158778233,11.226119059152,11.3699089927391,11.2025088511913
"MMP16",8.86862357375501,9.93792837368149,8.89410478620986,8.90722711902456,9.08824995954164,9.64103013489717
"ADK",8.6366625276259,9.03354206271743,8.88684499661256,8.7674474152629,9.04075345092328,9.05769962697607
"KCNMA1",9.995292445119,9.76423449524314,9.70983214712382,9.69742370899101,9.64966566386495,9.68330588561535
"DCK",8.12831662649336,8.41564452469532,8.10193521927289,8.09514253906326,8.37049534847887,7.99905642533804
"ADAMTS3",7.20563190317696,7.12705338642738,7.08690969619208,6.6222457575519,6.88787778503307,6.93769304046498
"DPY19L4",9.56532916174245,9.49348007522085,9.75016780995883,9.67991836004861,9.7673807963922,9.52761006874857
"NDUFAF6",8.58055642126697,8.1384162723424,7.99591670105308,8.42523846984413,8.60073050871014,8.2685512767849
